Município,Valor
JOAO MONLEVADE,0.00017409470752089137
LEME,0.00012458551357982098
CACAPAVA,0.00019996211244185312
VENANCIO AIRES,0.00013894099176079918
BIGUACU,0.00012952249373974613
GURUPI,0.0001484950596835913
CAMPO BOM,0.00017276627602292032
ITAPEMA,0.00017820547090795688
ABREU E LIMA,6.975863512247624e-05
CAMARAGIBE,6.92263639167018e-05
IRECE,9.520700723573255e-05
TABATINGA,0.0004806536890170632
MOCOCA,0.00020295737895042042
CANDEIAS,0.000738850080601827
NOVA ODESSA,0.00018045803530415382
CRUZEIRO,0.00015744026353077957
PALMITAL,0.0010802469135802468
ORLANDIA,0.00024797114517583407
BATATAIS,0.00019053667831057478
COLORADO,0.003514376996805112
FRANCISCO MORATO,5.0666261336575975e-05
PONTE NOVA,0.0001837160751565762
AMPARO,0.005775211017325633
PARAISO DO TOCANTINS,0.00013489815189531904
PAROBE,0.00016990043834313093
LORENA,0.0001570827489481066
MANHUACU,0.00014259232853272493
OLIMPIA,0.00021766733176129148
DRACENA,0.00021257147715919477
BACABAL,7.63431625155072e-05
SAO JOSE DO RIO PARDO,0.0002358319425295697
CANAA DOS CARAJAS,0.0002099572212161772
IGARAPE-MIRI,9.518370454978108e-05
DIAMANTINA,0.00020909566126502875
PARAGOMINAS,0.00011353414321022157
ITAITUBA,0.00035504709305192564
TUPA,0.00018301052310507854
GARIBALDI,0.0003103837471783296
BRASILIA (NUCLEO BANDEIRANTE),2.0
NANUQUE,0.00017213820238534366
GOIANA,0.0035087719298245615
CAMPO LIMPO PAULISTA,0.0001285933061339007
IGUATU,0.0039946737683089215
BOM JARDIM,0.00036210892236384707
CAMPO LARGO,0.00013446382549583535
BELO JARDIM,0.00010432015856664102
ITAPOLIS,0.00016154716023170478
MAIRIPORA,9.809980674338071e-05
CORNELIO PROCOPIO,0.00025082563437983364
SAO PEDRO DA ALDEIA,8.486642966930381e-05
REGISTRO,0.0001595942758853049
ARCOVERDE,0.00012028547753334581
AGUAS LINDAS DE GOIAS,3.2154636239193746e-05
CAMPOS DO JORDAO,0.0002480679324491938
ITAPEVA,0.001416860641635462
BARRA BONITA,0.005451241671714113
POA,0.00011829419766960431
PALMARES,0.00011023622047244094
ITAPIRA,0.00013291862721641812
RIO BONITO,0.0001155630396381226
PIRAJU,0.0002678362181525997
AVARE,0.00014249386180287618
JANUARIA,0.00013264163178683015
GARCA,0.00020266162264405863
SAO ROQUE,0.00014121225287855747
TIETE,0.00028224004515840724
PERUIBE,0.00011594034869059868
LAGOA DA PRATA,0.00013279960539545825
DOM PEDRITO,0.00023474790683116408
TORRES,0.00023039115297972558
JANAUBA,0.00015273959287955788
OURO PRETO,0.0002548351618873897
MATAO,0.0002511180733264774
ITAPIPOCA,7.660545890500157e-05
BOITUVA,0.00019301914106482226
BRASILIA (AGUAS CLARAS),0.4
SAO PEDRO,0.0015177065767284991
SOUSA,0.00010039728640477317
VARZEA PAULISTA,0.00012188086551665298
SAO JOAO DA BOA VISTA,0.00020703708143095313
ARARANGUA,0.00020329040033688123
CAXIAS,4.833106781452953e-05
CAJAZEIRAS,0.00014448779078167894
PARATY,0.00020604395604395604
CAMBE,0.00016768988550507261
CAFELANDIA,0.0006725326458555176
MARAU,0.0008245622544502109
MONTE ALEGRE,0.00031006378454996456
PIRACAIA,0.00025489767678974585
BRASILIA (SAMAMBAIA),0.6666666666666666
NAVEGANTES,0.0001793700523760553
PENAPOLIS,0.00017253007512900545
ACAILANDIA,7.956082425013923e-05
CAPAO DA CANOA,0.00016650940778153967
CAMAQUA,0.0002256385571166401
ITUVERAVA,0.0001902723272684029
CARPINA,0.00011849043189762427
GRAMADO,0.00032827246614690195
CORUMBA,0.00010708740116725267
SAO JOAQUIM DA BARRA,0.00017202163649916857
SAQUAREMA,0.00012143558945939084
EMBU-GUACU,0.00014305946982160484
NAO-ME-TOQUE,0.0006194391260277058
DOIS IRMAOS,0.000271747335366406
ITANHAEM,0.00011638959477022755
ESTANCIA,0.00010063833457933176
ESPIRITO SANTO DO PINHAL,0.00024735220705628385
MONTENEGRO,0.00018259003971333364
TAPEJARA,0.0007953502600183542
TRES CORACOES,0.00017493002798880448
PIRAPORA,0.00015889830508474575
FRANCISCO BELTRAO,0.00035785546976663485
ANDRADINA,0.00026222859340582495
SANTIAGO,0.00024311183144246353
FLORES DA CUNHA,0.00032192640762321735
SOCORRO,0.00016927839040433354
GUARARAPES,0.00024169184290030211
HIDROLANDIA,0.00024933925098489005
PORTO FELIZ,0.00014980712332871428
PRESIDENTE VENCESLAU,0.00022737033575019578
ITAUNA,0.00010655641629460719
NOVA VENECIA,0.00015862315104889558
BEZERROS,9.855453350854139e-05
BOCAIUVA,0.0001591849729385546
TIMBAUBA,9.469338282640809e-05
LIMOEIRO,0.00014235382042065555
CANTAGALO,0.0030762469786860033
SAO LOURENCO,0.00023808493138825158
PACO DO LUMIAR,4.040501991967482e-05
PALMEIRA DOS INDIOS,0.00010908545481816818
ALMENARA,0.00016610113186056998
IBIRITE,4.3919122935114986e-05
CANELA,0.00019785437917692577
DIAS D'AVILA,8.491847826086956e-05
SANTA CRUZ DO RIO PARDO,0.0002711553302880504
SALGUEIRO,9.796078303319238e-05
PONTA PORA,0.0001170997583486805
SAO MIGUEL DO GUAMA,8.384759860477596e-05
JARINU,0.00029395433909266093
CAMBUI,0.00023478902529013216
IBIA,0.0002760470068617399
NOVO GAMA,5.947172119657103e-05
ITURAMA,0.00020156210632401108
JARDINOPOLIS,0.007761966364812419
SOLEDADE,0.0007945967421533572
BRUMADO,0.00013366005791935843
ITACOATIARA,8.763303181079055e-05
AGUDOS,0.0002673725301462528
MIGUEL PEREIRA,0.00023454907939486337
TOBIAS BARRETO,9.518370454978108e-05
CABEDELO,0.00013087672866345776
GOIANESIA,0.00016883573689764335
ALTA FLORESTA,0.0002501972709251525
LEOPOLDINA,0.0001709726443768997
PESQUEIRA,7.381708127260648e-05
SANTA FE DO SUL,0.00021496790836225165
SANTO ANTONIO DA PATRULHA,0.00018530958282180168
PIRAPOZINHO,0.0002522158968076674
SIMAO DIAS,0.0001231345121410629
RANCHARIA,0.00023548408800376774
CAICO,0.00010242453506577118
PARAGUACU PAULISTA,0.00017412123190771575
SENADOR CANEDO,7.598078530362766e-05
SAO MANUEL,0.00017022104418451962
BRAGANCA,5.42997657352964e-05
PONTAL,0.00013765436954298749
HUMAITA,0.001900337837837838
OLIVEIRA,0.0002390057361376673
DESCALVADO,0.00017693895606015926
NOSSA SENHORA DA GLORIA,0.00016075447433286892
ARTUR NOGUEIRA,0.00010842067220816769
GOIATUBA,0.00020466639377814163
PARANAVAI,0.00026989946245023727
SANTO ANASTACIO,0.0002875491229751749
NOVA PRATA,0.0003255208333333333
LAGOA VERMELHA,0.0003239974080207358
MARITUBA,4.4881624714814675e-05
COSMOPOLIS,0.00010888205351552931
ITAQUI,0.00018672143828856464
CACAPAVA DO SUL,0.0002384642899725766
TIANGUA,7.83934567594758e-05
SEROPEDICA,7.220911760458288e-05
LENCOIS PAULISTA,0.00014494854326714017
NIQUELANDIA,0.00017119623368285898
MORRINHOS,0.00035265594004849017
IBIUNA,0.00010065551906792989
SANTA RITA DO PASSA QUATRO,0.0002173913043478261
PARAIBA DO SUL,0.0001123141201311829
GUARABIRA,0.00011841326228537596
ITUPEVA,0.00019104325537707163
ROLIM DE MOURA,0.00014438608840038262
IMBITUBA,0.00019873691648633133
AURIFLAMA,0.00032780436635415985
PARA DE MINAS,0.00012657159733355834
SAO FELIX DO XINGU,3.783922868516248e-05
IGARASSU,6.758469206724677e-05
ROLANDIA,0.00017808646097680424
JACUNDA,0.0001002640286086695
PIRANHAS,0.0008761682242990654
SERRA NEGRA,0.00027162841233192993
PRESIDENTE EPITACIO,0.00018022483047601883
RONDON DO PARA,0.00011362990739162548
CANGUCU,0.00014232089804486667
SERRA TALHADA,0.00013806592647989415
IGREJINHA,0.00021424745581146223
CAMANDUCAIA,0.0002752167331773772
